0.000000, 0.000000, -0.995929, 0.995929
0.000100, 0.057961, -1.022374, 0.964412
0.000200, 0.114981, -1.043351, 0.928370
0.000300, 0.170153, -1.058636, 0.888484
0.000400, 0.222637, -1.068179, 0.845542
0.000500, 0.271695, -1.072107, 0.800411
0.000600, 0.316712, -1.070714, 0.754002
0.000700, 0.357219, -1.064455, 0.707236
0.000800, 0.392910, -1.053920, 0.661010
0.000900, 0.423648, -1.039813, 0.616166
0.001000, 0.449468, -1.022921, 0.573453
0.001100, 0.470572, -1.004084, 0.533512
0.001200, 0.487318, -0.984162, 0.496844
0.001300, 0.500198, -0.963999, 0.463801
0.001400, 0.509821, -0.944394, 0.434573
0.001500, 0.516879, -0.926069, 0.409189
0.001600, 0.522126, -0.909643, 0.387517
0.001700, 0.526336, -0.895616, 0.369279
0.001800, 0.530280, -0.884344, 0.354064
0.001900, 0.534690, -0.876039, 0.341349
0.002000, 0.540232, -0.870762, 0.330530
0.002100, 0.547486, -0.868426, 0.320940
0.002200, 0.556917, -0.868805, 0.311889
0.002300, 0.568869, -0.871554, 0.302685
0.002400, 0.583552, -0.876220, 0.292668
0.002500, 0.601041, -0.882274, 0.281233
0.002600, 0.621276, -0.889130, 0.267854
0.002700, 0.644074, -0.896174, 0.252101
0.002800, 0.669141, -0.902794, 0.233653
0.002900, 0.696092, -0.908400, 0.212309
0.003000, 0.724468, -0.912453, 0.187985
0.003100, 0.753764, -0.914479, 0.160715
0.003200, 0.783450, -0.914091, 0.130642
0.003300, 0.812995, -0.910996, 0.098001
0.003400, 0.841894, -0.905002, 0.063108
0.003500, 0.869680, -0.896018, 0.026338
0.003600, 0.895950, -0.884055, -0.011895
0.003700, 0.920370, -0.869208, -0.051162
0.003800, 0.942690, -0.851654, -0.091036
0.003900, 0.962743, -0.831628, -0.131115
0.004000, 0.980446, -0.809411, -0.171035
0.004100, 0.995795, -0.785307, -0.210487
0.004200, 1.008854, -0.759628, -0.249226
0.004300, 1.019745, -0.732674, -0.287072
0.004400, 1.028631, -0.704715, -0.323917
0.004500, 1.035699, -0.675981, -0.359718
0.004600, 1.041145, -0.646654, -0.394491
0.004700, 1.045155, -0.616855, -0.428300
0.004800, 1.047891, -0.586649, -0.461242
0.004900, 1.049480, -0.556044, -0.493436
0.005000, 1.050000, -0.525000, -0.525000
0.005100, 1.049480, -0.493436, -0.556044
0.005200, 1.047891, -0.461242, -0.586649
0.005300, 1.045155, -0.428300, -0.616855
0.005400, 1.041145, -0.394491, -0.646654
0.005500, 1.035699, -0.359718, -0.675981
0.005600, 1.028631, -0.323917, -0.704715
0.005700, 1.019745, -0.287072, -0.732674
0.005800, 1.008854, -0.249226, -0.759628
0.005900, 0.995795, -0.210487, -0.785307
0.006000, 0.980446, -0.171035, -0.809411
0.006100, 0.962743, -0.131115, -0.831628
0.006200, 0.942690, -0.091036, -0.851654
0.006300, 0.920370, -0.051162, -0.869208
0.006400, 0.895950, -0.011895, -0.884055
0.006500, 0.869680, 0.026338, -0.896018
0.006600, 0.841894, 0.063108, -0.905002
0.006700, 0.812995, 0.098001, -0.910996
0.006800, 0.783450, 0.130642, -0.914091
0.006900, 0.753764, 0.160715, -0.914479
0.007000, 0.724468, 0.187985, -0.912453
0.007100, 0.696092, 0.212309, -0.908400
0.007200, 0.669141, 0.233653, -0.902794
0.007300, 0.644074, 0.252101, -0.896174
0.007400, 0.621276, 0.267854, -0.889130
0.007500, 0.601041, 0.281233, -0.882274
0.007600, 0.583552, 0.292668, -0.876220
0.007700, 0.568869, 0.302685, -0.871554
0.007800, 0.556917, 0.311889, -0.868805
